canto,stanza_num,stanza_lines,stanza_chars,line,line_num,line_chars
Canto I,1,23,826,As armas e os Barões assinalados,1,32
Canto I,1,23,826,Que da Ocidental praia Lusitana,2,31
Canto I,1,23,826,Por mares nunca de antes navegados,3,34
Canto I,1,23,826,"Passaram ainda além da Taprobana,",4,33
Canto I,1,23,826,Em perigos e guerras esforçados,5,31
Canto I,1,23,826,"Mais do que prometia a força humana,",6,36
Canto I,1,23,826,E entre gente remota edificaram,7,31
Canto I,1,23,826,"Novo Reino, que tanto sublimaram;",8,33
Canto I,1,23,826,E também as memórias gloriosas,9,30
Canto I,1,23,826,Daqueles Reis que foram dilatando,10,33
Canto I,1,23,826,"A Fé, o Império, e as terras viciosas",11,37
Canto I,1,23,826,"De África e de Ásia andaram devastando,",12,39
Canto I,1,23,826,E aqueles que por obras valerosas,13,33
Canto I,1,23,826,"Se vão da lei da Morte libertando,",14,34
Canto I,1,23,826,"Cantando espalharei por toda parte,",15,35
Canto I,1,23,826,Se a tanto me ajudar o engenho e arte.,16,38
Canto I,1,23,826,Cessem do sábio Grego e do Troiano,17,34
Canto I,1,23,826,As navegações grandes que fizeram;,18,34
Canto I,1,23,826,Cale-se de Alexandro e de Trajano,19,33
Canto I,1,23,826,A fama das vitórias que tiveram;,20,32
Canto I,1,23,826,"Que eu canto o peito ilustre Lusitano,",21,38
Canto I,1,23,826,A quem Neptuno e Marte obedeceram.,22,34
Canto I,1,23,826,"Cesse tudo o que a Musa antiga canta,",23,37
Canto I,2,42,1533,Que outro valor mais alto se alevanta.,1,38
Canto I,2,42,1533,"E vós, Tágides minhas, pois criado",2,34
Canto I,2,42,1533,"Tendes em mi um novo engenho ardente,",3,37
Canto I,2,42,1533,Se sempre em verso humilde celebrado,4,36
Canto I,2,42,1533,"Foi de mi vosso rio alegremente,",5,32
Canto I,2,42,1533,"Dai-me agora um som alto e sublimado,",6,37
Canto I,2,42,1533,"Um estilo grandíloco e corrente,",7,32
Canto I,2,42,1533,Por que de vossas águas Febo ordene,8,35
Canto I,2,42,1533,Que não tenham enveja às de Hipocrene.,9,38
Canto I,2,42,1533,"Dai-me üa fúria grande e sonorosa,",10,34
Canto I,2,42,1533,"E não de agreste avena ou frauta ruda,",11,38
Canto I,2,42,1533,"Mas de tuba canora e belicosa,",12,30
